state_abbr,year,shall_level,income,population,violent,murder,robbery
AK,1979,0,13744.0,406000.0,491.1,13.3,109.60591133004927
AK,1980,0,15507.0,440142.0,436.0,8.86,81.79178537835517
AK,1981,0,17086.0,412000.0,615.8,14.56,114.5631067961165
AK,1982,0,19417.0,438000.0,623.7,18.49,133.78995433789956
AK,1983,0,19479.0,479000.0,613.8,13.78,97.07724425887265
AK,1984,0,19690.0,500000.0,621.6,11.6,109.39999999999999
AK,1985,0,20586.0,521000.0,581.8,9.79,92.89827255278311
AK,1986,0,20322.0,534000.0,570.4,8.61,88.01498127340824
AK,1987,0,19642.0,525000.0,455.4,10.1,73.14285714285714
AK,1988,0,20406.0,513000.0,522.8,5.65,72.90448343079923
AK,1989,0,22117.0,527000.0,497.7,7.97,67.55218216318785
AK,1990,0,23207.0,550043.0,524.5,7.45,76.72127451853764
AK,1991,0,23518.0,570000.0,613.9,7.37,113.1578947368421
AK,1992,0,24227.0,587000.0,660.5,7.5,109.02896081771719
AK,1993,0,25020.0,599000.0,760.8,9.02,122.37061769616027
AK,1994,0,25691.0,606000.0,766.3,6.27,146.20462046204622
AK,1995,1,26369.0,604000.0,770.9,9.11,155.13245033112582
AK,1996,1,26910.0,607000.0,727.7,7.41,116.9686985172982
AK,1997,1,28219.0,609000.0,701.1,8.87,106.4039408866995
AK,1998,1,29287.0,614000.0,653.9,6.68,86.64495114006515
AK,1999,1,29941.0,619500.0,630.8,8.39,91.36400322841
AK,2000,1,31996.0,626932.0,566.9,4.31,78.15839676392336
AK,2001,1,33591.0,633630.0,589.5,6.16,81.11989646954848
AK,2002,1,34766.0,641482.0,565.4,5.14,76.22973053024091
AK,2003,1,36045.0,648280.0,598.0,6.02,68.79743320787314
AK,2004,2,37054.0,657755.0,632.3,5.63,67.9584343714605
AK,2005,2,39013.0,663253.0,632.3,4.82,80.96457912742197
AK,2006,2,41013.0,670053.0,688.0,5.37,89.54515538323088
AK,2007,2,43747.0,683478.0,661.3,6.29,85.00639376834367
AK,2008,2,47800.0,686293.0,652.1,3.93,93.98318211026486
AK,2009,2,47211.0,698473.0,633.4,3.15,93.63282474769962
AK,2010,2,49543.0,714146.0,635.3,4.34,83.17626927827082
AK,2011,2,52415.0,723860.0,610.1,4.14,79.57339817091703
AK,2012,2,53340.0,730307.0,604.1,4.11,86.26509125614297
AK,2013,2,52252.0,737259.0,638.7,4.61,84.50218986814674
AK,2014,2,55098.0,737046.0,635.5,5.56,85.34067073154186
AK,2015,2,56714.0,737709.0,730.8,8.0,103.15720697456587
AK,2016,2,55536.0,741522.0,804.6,7.01,114.62910068750489
AK,2017,2,56500.0,739786.0,856.7,8.38,128.6858632090902
AK,2018,2,58997.0,735139.0,891.7,6.39,121.88171216599854
AK,2019,2,60504.0,733603.0,865.0,9.41,112.594959399021
AK,2020,2,61912.0,731158.0,837.8,6.7,97.37977290818127
AK,2021,2,65788.0,734182.0,759.1,6.13,73.551244786715
AK,2022,2,69233.0,733583.0,767.1,9.54,75.65606073205076
AL,1979,1,7275.0,3769000.0,413.3,13.16,109.49854072698328
AL,1980,1,7959.0,3861466.0,448.5,13.18,132.12598531231401
AL,1981,1,8793.0,3916000.0,470.5,11.87,126.45556690500511
AL,1982,1,9269.0,3943000.0,447.7,10.58,112.0213035759574
AL,1983,1,9908.0,3959000.0,416.0,9.19,98.3834301591311
AL,1984,1,10840.0,3990000.0,431.2,9.37,96.06516290726817
AL,1985,1,11601.0,4021000.0,457.5,9.85,105.37179806018405
AL,1986,1,12220.0,4053000.0,558.0,10.09,111.59634838391315
AL,1987,1,12830.0,4083000.0,559.2,9.31,112.19691403379866
AL,1988,1,13800.0,4127000.0,558.6,9.89,117.7610855342864
AL,1989,1,14975.0,4118000.0,590.8,10.22,133.92423506556582
AL,1990,1,15860.0,4040587.0,708.6,11.56,143.667244388006
AL,1991,1,16585.0,4089000.0,844.2,11.47,152.75128393250182
AL,1992,1,17574.0,4136000.0,871.7,11.0,164.86943907156675
AL,1993,1,18116.0,4187000.0,780.4,11.56,159.46978743730594
AL,1994,1,18963.0,4219000.0,683.7,11.87,171.20170656553685
AL,1995,1,19874.0,4253000.0,632.4,11.17,185.7512344227604
AL,1996,1,20599.0,4273000.0,565.4,10.39,166.721273110227
AL,1997,1,21487.0,4319000.0,564.5,9.86,160.47696225978237
AL,1998,1,22651.0,4352000.0,512.1,8.13,130.92830882352942
AL,1999,1,23296.0,4369862.0,490.2,7.89,121.21664253928385
AL,2000,1,24258.0,4447100.0,486.2,7.4,128.2183895122664
AL,2001,1,25046.0,4468912.0,438.2,8.48,124.95211362407673
AL,2002,1,25671.0,4478896.0,445.0,6.77,133.11316002872135
AL,2003,1,26700.0,4503726.0,429.2,6.64,134.06677049181056
AL,2004,1,28385.0,4525375.0,427.0,5.61,133.51379719912714
AL,2005,1,29780.0,4548327.0,432.6,8.22,141.74442602741624
AL,2006,1,31264.0,4599030.0,425.2,8.31,153.55411902075002
AL,2007,1,32516.0,4627851.0,448.9,8.9,159.85821496845944
AL,2008,1,33441.0,4661900.0,452.8,7.53,157.5752375640833
AL,2009,1,32717.0,4708708.0,450.1,6.84,133.05135931130152
AL,2010,1,33848.0,4785401.0,383.7,5.75,101.6424746849846
AL,2011,1,34884.0,4803689.0,419.8,6.22,102.12984229412021
AL,2012,1,35559.0,4817528.0,450.3,7.1,104.20281937126259
AL,2013,1,35706.0,4833996.0,431.0,7.16,96.09027396795528
AL,2014,1,36722.0,4846411.0,427.7,5.69,97.02024859220566
AL,2015,1,38189.0,4853875.0,473.0,7.17,95.01686796631557
AL,2016,1,38704.0,4860545.0,532.4,8.37,96.42951562016194
AL,2017,1,39968.0,4875120.0,522.4,8.59,86.82863191059913
AL,2018,1,41324.0,4887681.0,523.1,7.84,82.80000270066725
AL,2019,1,42998.0,4907965.0,504.7,7.95,79.91092031014891
AL,2020,1,45873.0,4921532.0,453.6,9.57,54.170124262120005
AL,2021,1,50630.0,5049846.0,348.3,9.43,31.090057003718528
AL,2022,1,51690.0,5074296.0,438.1,11.59,37.16771745282498
AR,1979,0,7090.0,2180000.0,366.2,9.08,74.58715596330275
AR,1980,0,7601.0,2284037.0,335.2,9.19,80.90937230876733
AR,1981,0,8592.0,2294000.0,310.3,9.11,77.41935483870968
AR,1982,0,9021.0,2291000.0,324.7,8.16,78.78655608904408
AR,1983,0,9518.0,2328000.0,297.7,7.65,69.3298969072165
AR,1984,0,10538.0,2349000.0,321.4,7.49,67.56066411238825
AR,1985,0,11165.0,2359000.0,347.6,7.93,68.5459940652819
AR,1986,0,11708.0,2372000.0,394.8,8.05,79.67959527824621
AR,1987,0,12106.0,2388000.0,412.0,7.62,79.14572864321609
AR,1988,0,13015.0,2422000.0,422.7,8.71,84.10404624277457
AR,1989,0,13934.0,2406000.0,473.7,8.44,110.55694098088112
AR,1990,0,14621.0,2350725.0,532.2,10.25,113.19911942060429
AR,1991,0,15313.0,2372000.0,593.3,11.13,135.6239460370995
AR,1992,0,16431.0,2399000.0,576.5,10.8,125.51062942892871
AR,1993,0,16945.0,2424000.0,593.3,10.19,124.87623762376238
AR,1994,0,17743.0,2453000.0,595.1,11.99,128.74031797798614
AR,1995,1,18582.0,2484000.0,553.2,10.43,125.6843800322061
AR,1996,1,19427.0,2510000.0,524.3,8.73,114.1035856573705
AR,1997,1,20176.0,2523000.0,526.9,9.91,111.53388822829965
